common,sci.name,group,details,var,source,lwr,upr
American lobster,Homarus americanus,Decapod,Commercially fished,temp,aquamaps,7.93,16.23
American plaice,Hippoglossoides platessoides,Large benthivore,Commercially fished/Endangered,temp,aquamaps,0.91,11.4
(ESS/WSS) Atlantic cod,Gadus morhua,Piscivore,Commercially fished/Endangered,temp,aquamaps,4.15,12.16
Atlantic halibut,Hippoglossus hippoglossus,Piscivore,Commercially fished,temp,aquamaps,2.23,10.87
Atlantic wolffish,Anarhichas lupus,Large benthivore,Special concern,temp,aquamaps,2.01,10.1
Basking shark,Cetorhinus maximus,Planktivore,Endangered species,temp,aquamaps,8.71,21.14
Blue whale,Balaenoptera musculus,Piscivore,Endangered species,temp,aquamaps,-1.3,27.88
Copepod (1),Calanus glacialis,Zooplankton,Important food source,temp,aquamaps,-1.5,6
Copepod (2),Calanus finmarchicus,Zooplankton,Important food source,temp,aquamaps,0.06,13.9
Common shortfin squid,Illex illecebrosus,Piscivore,Important food source,temp,aquamaps,5.51,18.07
Cusk,Brosme brosme,Piscivore,Endangered species,temp,aquamaps,5.55,11.9
(ESS/WSS)haddock,Melanogrammus aeglefinus,Large benthivore,Commercially fished,temp,aquamaps,6.57,12.75
Little skate,Leucoraja erinacea,Medium benthivore,Sensitive population,temp,aquamaps,8.47,17.04
Loggerhead turtle,Caretta caretta,Piscivore,Vulnerable species,temp,aquamaps,15.31,27.9
Monkfish,Lophius americanus,Piscivore,Commercially fished/Sensitive population,temp,aquamaps,6.42,18.33
North Atlantic Right whale,Eubalaena glacialis,Planktivore,Critically Endangered,temp,aquamaps,7.94,23.94
Northern Bottlenose whale,Hyperoodon ampullatus,Piscivore,Depleted species,temp,aquamaps,3.57,19.32
Northern shrimp,Pandalus borealis,Planktivore,Commercially fished,temp,aquamaps,0,14
(ESS/WSS)pollock,Pollachius virens,Piscivore,Commercially fished/Sensitive population,temp,aquamaps,7.13,12.26
Porbeagle shark,Lamna nasus,Piscivore,Vulnerable species,temp,aquamaps,8.03,22.18
Redfish species (1),Sebastes fasciatus,Piscivore,Commercially fished/Endangered,temp,aquamaps,5.7,11.92
Redfish species (2),Sebastes mentella,Piscivore,Commercially fished/Endangered,temp,aquamaps,0.53,5.9
Smooth skate,Malacoraja senta,Medium benthivore,Special concern,temp,aquamaps,4.19,11.38
Snow crab,Chionoecetes opilio,Decapod,Commercially fished,temp,aquamaps,1.97,9.28
Spiny dogfish,Squalus acanthias,Piscivore,Commercially fished/Threatened,temp,aquamaps,8.19,19.45
Thorny skate,Amblyraja radiata,Large benthivore,Special concern,temp,aquamaps,0.37,11.22
White hake,Urophycis tenuis,Piscivore,Commercially fished/Threatened,temp,aquamaps,5.91,15.32
White shark,Carcharodon carcharias,Carnivore,Vulnerable species,temp,aquamaps,12.62,26.93
Winter skate,Leucoraja ocellata,Large benthivore,Threatened,temp,aquamaps,6.85,15.44
Witch flounder,Glyptocephalus cynoglossus,Medium benthivore,Commercially fished/Sensitive population,temp,aquamaps,4.31,12.76
American lobster,Homarus americanus,Decapod,Commercially fished,temp,shackell,0,22
American plaice,Hippoglossoides platessoides,Large benthivore,Commercially fished/Endangered,temp,shackell,-1,5
(ESS/WSS) Atlantic cod,Gadus morhua,Piscivore,Commercially fished/Endangered,temp,shackell,6,13
Atlantic halibut,Hippoglossus hippoglossus,Piscivore,Commercially fished,temp,shackell,3,9
Atlantic wolffish,Anarhichas lupus,Large benthivore,Special concern,temp,shackell,,
Basking shark,Cetorhinus maximus,Planktivore,Endangered species,temp,shackell,,
Blue whale,Balaenoptera musculus,Piscivore,Endangered species,temp,shackell,,
Copepod (1),Calanus glacialis,Zooplankton,Important food source,temp,shackell,,
Copepod (2),Calanus finmarchicus,Zooplankton,Important food source,temp,shackell,,
Common shortfin squid,Illex illecebrosus,Piscivore,Important food source,temp,shackell,,
Cusk,Brosme brosme,Piscivore,Endangered species,temp,shackell,,
(ESS/WSS)haddock,Melanogrammus aeglefinus,Large benthivore,Commercially fished,temp,shackell,1,13
Little skate,Leucoraja erinacea,Medium benthivore,Sensitive population,temp,shackell,,
Loggerhead turtle,Caretta caretta,Piscivore,Vulnerable species,temp,shackell,,
Monkfish,Lophius americanus,Piscivore,Commercially fished/Sensitive population,temp,shackell,,
North Atlantic Right whale,Eubalaena glacialis,Planktivore,Critically Endangered,temp,shackell,,
Northern Bottlenose whale,Hyperoodon ampullatus,Piscivore,Depleted species,temp,shackell,,
Northern shrimp,Pandalus borealis,Planktivore,Commercially fished,temp,shackell,0,8
(ESS/WSS)pollock,Pollachius virens,Piscivore,Commercially fished/Sensitive population,temp,shackell,,
Porbeagle shark,Lamna nasus,Piscivore,Vulnerable species,temp,shackell,,
Redfish species (1),Sebastes fasciatus,Piscivore,Commercially fished/Endangered,temp,shackell,3,8
Redfish species (2),Sebastes mentella,Piscivore,Commercially fished/Endangered,temp,shackell,,
Smooth skate,Malacoraja senta,Medium benthivore,Special concern,temp,shackell,,
Snow crab,Chionoecetes opilio,Decapod,Commercially fished,temp,shackell,-1,4
Spiny dogfish,Squalus acanthias,Piscivore,Commercially fished/Threatened,temp,shackell,,
Thorny skate,Amblyraja radiata,Large benthivore,Special concern,temp,shackell,,
White hake,Urophycis tenuis,Piscivore,Commercially fished/Threatened,temp,shackell,,
White shark,Carcharodon carcharias,Carnivore,Vulnerable species,temp,shackell,,
