,MISSION,SETNO,CODE,SAMPWGT,TOTWGT,TOTNO,REMARKS,WEIGHT_UNITS,SPEC,COMM,STRAT,SLAT,SLONG,ELAT,ELONG,AREA,DUR,DIST,SPEED,DMIN,DMAX,TYPE,GEAR,AUX,DEPTH,ETIME,START_DEPTH,END_DEPTH,SURFACE_TEMPERATURE,BOTTOM_TEMPERATURE,BOTTOM_SALINITY,LATITUDE,LONGITUDE,YEAR,SetID,STDWGT
4630,ATC1973213,73,220,3,3,1,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,440,4620,5902,NA,NA,441,30,2.3,4.6,135,140,1,3,1,137,NA,NA,NA,18.9,5.2,34.65,46.33333333,-59.03333333,1973,ATC1973213.440.1973.73,2.282608696
15483,ATC1981322,71,220,2,2,1,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,440,4625,5910,NA,NA,441,30,1.7,3.4,116,124,1,3,1,120,NA,NA,NA,16.4,2.75,33.925,46.41666667,-59.16666667,1981,ATC1981322.440.1981.71,2.058823529
18257,HAM1991231,93,220,1,1,1,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,440,4614.12,5853.64,4615.28,5855.34,441,30,1.7,3.4,130,132,1,9,1,131,NA,NA,NA,14.73,4.13,34.058,46.23533333,-58.894,1991,HAM1991231.440.1991.93,1.029411765
19664,NED1983013,66,220,2,2,1,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,440,4630,5918,NA,NA,441,30,1.7,3.4,131,133,1,9,1,132,NA,NA,NA,14.8,4.9,34.3,46.5,-59.3,1983,NED1983013.440.1983.66,2.058823529
22601,NED1985049,67,220,2,2,1,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,440,4632,5920,NA,NA,441,30,1.7,3.4,145,147,1,9,1,146,NA,NA,NA,13.9,5.96,34.69,46.53333333,-59.33333333,1985,NED1985049.440.1985.67,2.058823529
24222,NED1986066,50,220,24,24,17,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,440,4603,5836,NA,NA,441,30,1.7,3.4,139,142,1,9,1,140,NA,NA,NA,13.4,6.37,34.569,46.05,-58.6,1986,NED1986066.440.1986.50,24.70588235
24241,NED1986066,52,220,1,1,1,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,440,4626,5906,NA,NA,441,30,1.6,3.2,170,171,1,9,1,170,NA,NA,NA,15.3,6.13,34.7,46.43333333,-59.1,1986,NED1986066.440.1986.52,1.09375
24251,NED1986066,53,220,4,4,3,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,440,4641,5928,NA,NA,441,30,1.7,3.4,187,189,1,9,1,188,NA,NA,NA,15.3,6.16,34.724,46.68333333,-59.46666667,1986,NED1986066.440.1986.53,4.117647059
24259,NED1986066,54,220,3,3,2,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,440,4657,5952,NA,NA,441,30,1.7,3.4,152,156,1,9,1,154,NA,NA,NA,14.7,6.15,34.667,46.95,-59.86666667,1986,NED1986066.440.1986.54,3.088235294
25702,NED1987086,30,220,2,2,1,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,440,4702,5957,NA,NA,441,30,1.7,3.4,161,164,1,9,1,162,NA,NA,NA,17.8,5.8,34.814,47.03333333,-59.95,1987,NED1987086.440.1987.30,2.058823529
25740,NED1987086,33,220,6,6,4,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,440,4641,5934,NA,NA,441,30,1.7,3.4,151,154,1,9,1,152,NA,NA,NA,16.4,5.26,34.318,46.68333333,-59.56666667,1987,NED1987086.440.1987.33,6.176470588
27886,NED1988106,73,220,8,8,4,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,440,4619,5902,NA,NA,441,30,1.7,3.4,129,130,1,9,1,129,NA,NA,NA,13.5,5.48,34.305,46.31666667,-59.03333333,1988,NED1988106.440.1988.73,8.235294118
27917,NED1988106,77,220,58,58,33,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,440,4704,6006,NA,NA,441,30,1.7,3.4,123,124,1,9,1,123,NA,NA,NA,15,5.48,34.305,47.06666667,-60.1,1988,NED1988106.440.1988.77,59.70588235
29313,NED1989124,34,220,2,2,1,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,440,4643,5939,NA,NA,441,30,1.7,3.4,119,120,1,9,1,119,NA,NA,NA,15.1,5.12,34.363,46.71666667,-59.65,1989,NED1989124.440.1989.34,2.058823529
29322,NED1989124,35,220,18,18,13,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,440,4636,5927,NA,NA,441,30,1.7,3.4,144,145,1,9,1,144,NA,NA,NA,14.7,5.57,34.567,46.6,-59.45,1989,NED1989124.440.1989.35,18.52941176
29352,NED1989124,39,220,1,1,1,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,440,4602,5823,NA,NA,441,30,1.7,3.4,187,195,1,9,1,191,NA,NA,NA,5.66,5.66,34.679,46.03333333,-58.38333333,1989,NED1989124.440.1989.39,1.029411765
33955,NED1992174,65,220,1,1,1,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,440,4607.48,5832.29,4608.76,5834.02,441,30,1.7,3.4,187,188,1,9,1,NA,NA,NA,NA,11,5.16,34.608,46.12466667,-58.53816667,1992,NED1992174.440.1992.65,1.029411765
38059,NED1994222,58,220,7,7,4,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,440,4706.07,6009.39,4707.8,6009.59,441,30,1.7,3.4,117,117,1,9,1,NA,1994-07-23 23:51,NA,NA,18,5.92,34.62,47.10116667,-60.1565,1994,NED1994222.440.1994.58,7.205882353
38060,NED1994222,59,220,9,9,5,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,440,4648.11,5943.24,4647,5941.57,441,30,1.7,3.4,139,144,1,9,1,NA,1994-07-24 2:12,NA,NA,19.5,5.85,34.696,46.80183333,-59.72066667,1994,NED1994222.440.1994.59,9.264705882
38097,NED1994222,60,220,8,8,4,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,440,4642.88,5935.81,4641.71,5933.98,441,30,1.8,3.6,153,157,1,9,1,NA,1994-07-24 5:05,NA,NA,19.29,5.91,34.703,46.71466667,-59.59683333,1994,NED1994222.440.1994.60,7.777777778
38103,NED1994222,61,220,3,3,2,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,440,4621.81,5901.21,4620.76,5858.93,441,30,1.9,3.8,160,162,1,9,1,NA,1994-07-24 8:48,NA,NA,18,5.96,34.725,46.3635,-59.02016667,1994,NED1994222.440.1994.61,2.763157895
42414,NED1996247,46,220,2.41,2.41,2,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,440,4708.82,6006.99,4707.15,6005.95,441,30,1.84,3.68,128,131,1,9,1,NA,1996-07-22 23:57,NA,NA,13.8,5.59,34.579,47.147,-60.1165,1996,NED1996247.440.1996.46,2.292119565
42512,NED1996247,52,220,1.34,1.34,1,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,440,4622.49,5858.72,4621.35,5856.81,441,30,1.74,3.48,173,174,1,9,1,NA,1996-07-23 12:55,NA,NA,12.3,5.56,34.77,46.37483333,-58.97866667,1996,NED1996247.440.1996.52,1.347701149
44782,NED1997734,65,220,2.5,2.5,1,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,440,4635.84,5922.13,4635,5919.88,441,30,1.78,3.56,170,170,1,9,1,NA,1997-07-27 16:44,NA,NA,14.34,5.54,34.801,46.59733333,-59.36883333,1997,NED1997734.440.1997.65,2.457865169
46589,NED1998832,37,220,1.82,1.82,1,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,440,4632.08,5911.98,4630.97,5910.1,441,30,1.71,3.42,184,185,1,9,1,NA,1998-07-24 14:17,NA,NA,16.6,5.33,34.758,46.53466667,-59.19966667,1998,NED1998832.440.1998.37,1.862573099
46605,NED1998832,38,220,1.68,1.68,1,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,440,4627.59,5905.11,4626.55,5903.1,441,30,1.73,3.46,185,186,1,9,1,NA,1998-07-24 16:16,NA,NA,NA,NA,NA,46.45983333,-59.08516667,1998,NED1998832.440.1998.38,1.699421965
