Common,scientific,functional,importance,temp_lower,temp_upper,depth_lower,depth_upper
American lobster,Homarus americanus,Decapod,Commercially fished,7.93,16.23,4,50
American plaice,Hippoglossaides platessoides,Large benthivore,Commercially fished/Endangered,0.91,11.4,90,250
(ESS/WSS) Atlantic cod,Gadus morhua,Piscivore,Commercially fished/Endangered,4.15,12.16,20,200
Atlantic halibut,Hippoglossus hippoglossus,Piscivore,Commercially fished,2.23,10.87,313,864
Atlantic wolffish,Anarhichas lupus,Large benthivore,Special concern,2.01,10.1,1,500
Basking shark,Cetorhinus maximus,Planktivore,Endangered species,8.71,21.14,0,834
Blue whale,Balaenoptera musculus,Piscivore,Endangered species,-1.3,27.88,1000,4000
Copepod_1,Calanus glacialis,Zooplankton,Important food source,,,,
Copepod_2,Calanus finmarchicus,Zooplankton,Important food source,0.06,13.9,423,1221
Common shortfin squid,Illex illecebrosus,Piscivore,Important food source,5.51,18.07,126,434
Cusk,Brosme brosme,Piscivore,Endangered species,5.55,11.9,18,549
(ESS/WSS)haddock,Melanogrammus aeglefinus,Large benthivore,Commercially fished,6.57,12.75,10,200
Little skate,Leucoraja erinacea,Medium benthivore,Sensitive population,8.47,17.04,37,152
Loggerhead turtle,Caretta caretta,Piscivore,Vulnerable species,15.31,27.9,0,40
Monkfish,Lophius americanus,Piscivore,Commercially fished/Sensitive population,6.42,18.33,99,352
North Atlantic Right whale,Eubalaena glacialis,Planktivore,Critically Endangered,7.94,23.94,10,200
Northern Bottlenose whale,Hyperoodon ampullatus,Piscivore,Depleted species,3.57,19.32,1000,2000
Northern shrimp,Pandalus borealis,Planktivore,Commercially fished,0,14,50,500
(ESS/WSS)pollock,Pollachius virens,Piscivore,Commercially fished/Sensitive population,7.13,12.26,74,188
Porbeagle shark,Lamna nasus,Piscivore,Vulnerable species,8.03,22.18,0,300
Redfish_1,Sebastes fasciatus,Piscivore,Commercially fished/Endangered,5.7,11.92,128,366
Redfish_2,Sebastes mentella,Piscivore,Commercially fished/Endangered,0.53,5.9,446,791
Smooth skate,Malacoraja senta,Medium benthivore,Special concern,4.19,11.38,154,426
Snow crab,Chionoecetes opilio,Decapod,Commercially fished,1.97,9.28,100,300
Spiny dogfish,Squalus acanthias,Piscivore,Commercially fished/Threatened,8.19,19.45,50,300
Thorny skate,Amblyraja radiata,Large benthivore,Special concern,0.37,11.22,25,440
White hake,Urophycis tenuis,Piscivore,Commercially fished/Threatened,5.91,15.32,100,247
White shark,Carcharodon carcharias,Carnivore,Vulnerable species,12.62,26.93,0,250
Winter skate,Leucoraja ocellata,Large benthivore,Threatened,6.85,15.44,12,59
Witch flounder,Glyptocephalus cynoglossus,Medium benthivore,Commercially fished/Sensitive population,4.31,12.76,45,366
