common_name ,scientific_name,functional_group,importance,type,var,lower,upper
American lobster,Homarus americanus,Decapod,Commercially fished,Aquamaps,temp,7.93,16.23
American plaice,Hippoglossoides platessoides,Large benthivore,Commercially fished/Endangered,Aquamaps,temp,0.91,11.4
(ESS/WSS) Atlantic cod,Gadus morhua,Piscivore,Commercially fished/Endangered,Aquamaps,temp,4.15,12.16
Atlantic halibut,Hippoglossus hippoglossus,Piscivore,Commercially fished,Aquamaps,temp,2.23,10.87
Atlantic wolffish,Anarhichas lupus,Large benthivore,Special concern,Aquamaps,temp,2.01,10.1
Basking shark,Cetorhinus maximus,Planktivore,Endangered species,Aquamaps,temp,8.71,21.14
Blue whale,Balaenoptera musculus,Piscivore,Endangered species,Aquamaps,temp,-1.3,27.88
Copepod (1),Calanus glacialis,Zooplankton,Important food source,Aquamaps,temp,-1.5,6
Copepod (2),Calanus finmarchicus,Zooplankton,Important food source,Aquamaps,temp,0.06,13.9
Common shortfin squid,Illex illecebrosus,Piscivore,Important food source,Aquamaps,temp,5.51,18.07
Cusk,Brosme brosme,Piscivore,Endangered species,Aquamaps,temp,5.55,11.9
(ESS/WSS)haddock,Melanogrammus aeglefinus,Large benthivore,Commercially fished,Aquamaps,temp,6.57,12.75
Little skate,Leucoraja erinacea,Medium benthivore,Sensitive population,Aquamaps,temp,8.47,17.04
Loggerhead turtle,Caretta caretta,Piscivore,Vulnerable species,Aquamaps,temp,15.31,27.9
Monkfish,Lophius americanus,Piscivore,Commercially fished/Sensitive population,Aquamaps,temp,6.42,18.33
North Atlantic Right whale,Eubalaena glacialis,Planktivore,Critically Endangered,Aquamaps,temp,7.94,23.94
Northern Bottlenose whale,Hyperoodon ampullatus,Piscivore,Depleted species,Aquamaps,temp,3.57,19.32
Northern shrimp,Pandalus borealis,Planktivore,Commercially fished,Aquamaps,temp,0,14
(ESS/WSS)pollock,Pollachius virens,Piscivore,Commercially fished/Sensitive population,Aquamaps,temp,7.13,12.26
Porbeagle shark,Lamna nasus,Piscivore,Vulnerable species,Aquamaps,temp,8.03,22.18
Redfish species (1),Sebastes fasciatus,Piscivore,Commercially fished/Endangered,Aquamaps,temp,5.7,11.92
Redfish species (2),Sebastes mentella,Piscivore,Commercially fished/Endangered,Aquamaps,temp,0.53,5.9
Smooth skate,Malacoraja senta,Medium benthivore,Special concern,Aquamaps,temp,4.19,11.38
Snow crab,Chionoecetes opilio,Decapod,Commercially fished,Aquamaps,temp,1.97,9.28
