climate_proj,mod,NAME,species,ToE
2.6,Ensemble,Big Glace Bay,Anarhichas lupus,2046
2.6,Ensemble,Bird Islands,Anarhichas lupus,2050
2.6,Ensemble,Brier Island,Anarhichas lupus,2027
2.6,Ensemble,Brier Island,Chionoecetes opilio,2015
2.6,Ensemble,Brier Island,Malacoraja senta,2067
2.6,Ensemble,Canso Ledges - Sugar Harbour Islands,Chionoecetes opilio,2044
2.6,Ensemble,"Central Scotian Slope, Rise and Abyss",Chionoecetes opilio,2015
2.6,Ensemble,Chebogue,Anarhichas lupus,2027
2.6,Ensemble,Corsair/Georges Canyons Conservation Area,Hippoglossus hippoglossus,2027
2.6,Ensemble,Eastern Canyons,Chionoecetes opilio,2044
2.6,Ensemble,Eastern Shoal,Chionoecetes opilio,2044
2.6,Ensemble,Eastern Shore Islands,Chionoecetes opilio,2044
2.6,Ensemble,Emerald Basin Sponge Conservation Area,Chionoecetes opilio,2044
2.6,Ensemble,Fundian Channel-Browns Bank,Chionoecetes opilio,2015
2.6,Ensemble,Georges Bank,Anarhichas lupus,2015
2.6,Ensemble,"Head Harbour, West Isles and The Passages",Anarhichas lupus,2015
2.6,Ensemble,Horse Mussel Reefs,Anarhichas lupus,2015
2.6,Ensemble,Jordan Basin Conservation Area,Anarhichas lupus,2015
2.6,Ensemble,Jordan Basin Conservation Area,Hippoglossus hippoglossus,2027
2.6,Ensemble,LaHave Basin,Chionoecetes opilio,2044
2.6,Ensemble,Long Eddy,Anarhichas lupus,2015
2.6,Ensemble,Long Eddy,Chionoecetes opilio,2015
2.6,Ensemble,Lophelia Coral Conservation Area,Chionoecetes opilio,2044
2.6,Ensemble,Machias Seal Island Migratory Bird Sanctuary,Chionoecetes opilio,2015
2.6,Ensemble,Misaine Bank and Laurentian Channel,Chionoecetes opilio,2066
2.6,Ensemble,North of Emerald Basin Sea Pen Field,Chionoecetes opilio,2044
2.6,Ensemble,Northeast Channel Coral Conservation Area,Hippoglossus hippoglossus,2039
2.6,Ensemble,Northern Gulf of Maine,Chionoecetes opilio,2015
2.6,Ensemble,Roseway Bank,Anarhichas lupus,2044
2.6,Ensemble,Sable Island Bank,Chionoecetes opilio,2027
2.6,Ensemble,Sambro Bank Sponge Conservation Area,Chionoecetes opilio,2015
2.6,Ensemble,Sambro Ledges - Prospect,Chionoecetes opilio,2044
2.6,Ensemble,Scotian Gulf,Chionoecetes opilio,2015
2.6,Ensemble,South Grand Manan,Chionoecetes opilio,2015
2.6,Ensemble,St Anns Bank Marine Protected Area,Chionoecetes opilio,2067
2.6,Ensemble,The Gully Marine Protected Area,Chionoecetes opilio,2027
2.6,Ensemble,Western Jordan Basin,Anarhichas lupus,2015
2.6,Ensemble,Western Jordan Basin,Chionoecetes opilio,2015
8.5,Ensemble,Big Glace Bay,Anarhichas lupus,2041
