"","climate_proj","NAME","species","toe"
"1","2-6","Bird Islands","Anarhichas lupus",2050
"2","2-6","Brier Island","Calanus glacialis",2015
"3","2-6","Canso Ledges - Sugar Harbour Islands","Calanus glacialis",2015
"4","2-6","Central Scotian Slope, Rise and Abyss","Anarhichas lupus",2015
"5","2-6","Chebogue","Anarhichas lupus",2027
"6","2-6","Corsair/Georges Canyons Conservation Area","Hippoglossus hippoglossus",2017.545075972
"7","2-6","Eastern Canyons","Calanus glacialis",2015
"8","2-6","Eastern Shoal","Calanus glacialis",2015
"9","2-6","Eastern Shore Islands","Calanus glacialis",2015
"10","2-6","Emerald Basin Sponge Conservation Area","Calanus glacialis",2015
"11","2-6","Fundian Channel-Browns Bank","Calanus glacialis",2015
"12","2-6","Georges Bank","Calanus glacialis",2015
"13","2-6","Head Harbour, West Isles and The Passages","Amblyraja radiata",2015
"14","2-6","Horse Mussel Reefs","Hippoglossus hippoglossus",2015
"15","2-6","Jordan Basin Conservation Area","Anarhichas lupus",2015
"16","2-6","LaHave Basin","Calanus glacialis",2015
"17","2-6","LaHave Islands","Calanus glacialis",2015
"18","2-6","Long Eddy","Malacoraja senta",2015
"19","2-6","Lophelia Coral Conservation Area","Anarhichas lupus",2035
"20","2-6","Machias Seal Island Migratory Bird Sanctuary","Amblyraja radiata",2020.11419526024
"21","2-6","Middle Bank-Canso Bank","Calanus glacialis",2015
"22","2-6","Misaine Bank and Laurentian Channel","Calanus glacialis",2015
"23","2-6","North of Emerald Basin Sea Pen Field","Calanus glacialis",2015
"24","2-6","Northeast Channel Coral Conservation Area","Anarhichas lupus",2016.59335713579
"25","2-6","Northern Gulf of Maine","Calanus glacialis",2015
"26","2-6","Port Joli and Surrounding Areas","Calanus glacialis",2015
"27","2-6","Roseway Bank","Calanus glacialis",2015
"28","2-6","Sable Island Bank","Calanus glacialis",2015
"29","2-6","Sambro Bank Sponge Conservation Area","Calanus glacialis",2015
"30","2-6","Sambro Ledges - Prospect","Calanus glacialis",2015
"31","2-6","Scotian Gulf","Calanus glacialis",2015
"32","2-6","South Grand Manan","Anarhichas lupus",2015
"33","2-6","St Anns Bank Marine Protected Area","Calanus glacialis",2015
"34","2-6","The Gully Marine Protected Area","Sebastes mentella",2015
"35","2-6","Western Emerald Bank Conservation Area","Chionoecetes opilio",2015
"36","2-6","Western Jordan Basin","Anarhichas lupus",2015
"37","8-5","Bird Islands","Anarhichas lupus",2041
"38","8-5","Brier Island","Anarhichas lupus",2015
"39","8-5","Canso Ledges - Sugar Harbour Islands","Chionoecetes opilio",2015
"40","8-5","Central Scotian Slope, Rise and Abyss","Amblyraja radiata",2015
"41","8-5","Chebogue","Anarhichas lupus",2015
"42","8-5","Corsair/Georges Canyons Conservation Area","Hippoglossus hippoglossus",2015
"43","8-5","Eastern Canyons","Calanus glacialis",2015
"44","8-5","Eastern Shoal","Calanus glacialis",2015
"45","8-5","Eastern Shore Islands","Calanus glacialis",2015
"46","8-5","Emerald Basin Sponge Conservation Area","Calanus glacialis",2015
"47","8-5","Fundian Channel-Browns Bank","Chionoecetes opilio",2015
"48","8-5","Georges Bank","Anarhichas lupus",2015
"49","8-5","Head Harbour, West Isles and The Passages","Amblyraja radiata",2015
"50","8-5","Horse Mussel Reefs","Hippoglossus hippoglossus",2015
"51","8-5","Jordan Basin Conservation Area","Amblyraja radiata",2015
"52","8-5","LaHave Basin","Calanus glacialis",2015
"53","8-5","LaHave Islands","Calanus glacialis",2015
"54","8-5","Long Eddy","Malacoraja senta",2015
"55","8-5","Lophelia Coral Conservation Area","Chionoecetes opilio",2030
"56","8-5","Machias Seal Island Migratory Bird Sanctuary","Amblyraja radiata",2015
"57","8-5","Middle Bank-Canso Bank","Calanus glacialis",2015
"58","8-5","Misaine Bank and Laurentian Channel","Calanus glacialis",2015
"59","8-5","North of Emerald Basin Sea Pen Field","Calanus glacialis",2015
"60","8-5","Northeast Channel Coral Conservation Area","Anarhichas lupus",2015
"61","8-5","Northern Gulf of Maine","Calanus glacialis",2015
"62","8-5","Pearl Island","Pollachius virens",2062
"63","8-5","Point Michaud and Basque Islands","Gadus morhua",2076
"64","8-5","Port Joli and Surrounding Areas","Calanus glacialis",2015
"65","8-5","Roseway Bank","Calanus glacialis",2015
"66","8-5","Sable Island Bank","Chionoecetes opilio",2015
"67","8-5","Sambro Bank Sponge Conservation Area","Calanus glacialis",2015
"68","8-5","Sambro Ledges - Prospect","Calanus glacialis",2015
"69","8-5","Scotian Gulf","Anarhichas lupus",2015
"70","8-5","South Grand Manan","Amblyraja radiata",2015
"71","8-5","Southern Bight","Pollachius virens",2043.58533393597
"72","8-5","St Anns Bank Marine Protected Area","Calanus glacialis",2015
"73","8-5","The Gully Marine Protected Area","Sebastes mentella",2015
"74","8-5","Western Emerald Bank Conservation Area","Chionoecetes opilio",2015
"75","8-5","Western Jordan Basin","Amblyraja radiata",2015
