"climate_proj","species","benchmark","max","min","comp","id","functional_group","facet_lab"
"2-6","Amblyraja radiata",2025,0.346919600535908,0.00773448223890266,0.0100147778890082,"2-6-2025-Amblyraja radiata","Benthic fish","RCP 2.6"
"2-6","Amblyraja radiata",2050,0.582532630722334,0.098286725568179,0.536635600760293,"2-6-2050-Amblyraja radiata","Benthic fish","RCP 2.6"
"2-6","Amblyraja radiata",2075,0.70578978299005,0.169322483119006,0.583220615335505,"2-6-2075-Amblyraja radiata","Benthic fish","RCP 2.6"
"2-6","Amblyraja radiata",2100,0.806257173841498,0.17759058636056,0.615084968996565,"2-6-2100-Amblyraja radiata","Benthic fish","RCP 2.6"
"2-6","Anarhichas lupus",2025,0.532933288658311,0.113251697460899,0.299655686221348,"2-6-2025-Anarhichas lupus","Benthic fish","RCP 2.6"
"2-6","Anarhichas lupus",2050,0.765027804876239,0.278169742783997,0.68330347466781,"2-6-2050-Anarhichas lupus","Benthic fish","RCP 2.6"
"2-6","Anarhichas lupus",2075,0.967056193632306,0.590926290815,0.714624423163914,"2-6-2075-Anarhichas lupus","Benthic fish","RCP 2.6"
"2-6","Anarhichas lupus",2100,0.995589636375862,0.605008231505311,0.753343284455028,"2-6-2100-Anarhichas lupus","Benthic fish","RCP 2.6"
"2-6","Brosme brosme",2050,0.665129649642341,0.019057115905484,0.128409764852446,"2-6-2050-Brosme brosme","Benthic fish","RCP 2.6"
"2-6","Brosme brosme",2075,0.932178071611897,0.0313109589836547,0.548112976149957,"2-6-2075-Brosme brosme","Benthic fish","RCP 2.6"
"2-6","Brosme brosme",2100,0.940866081066137,0.051456359108144,0.568106472115844,"2-6-2100-Brosme brosme","Benthic fish","RCP 2.6"
"2-6","Chionoecetes opilio",2025,0.697017331491084,0.524269810466911,0.623712921326953,"2-6-2025-Chionoecetes opilio","Benthic Invertebrates","RCP 2.6"
"2-6","Chionoecetes opilio",2050,0.979285777515021,0.731780687958114,0.883285191499928,"2-6-2050-Chionoecetes opilio","Benthic Invertebrates","RCP 2.6"
"2-6","Chionoecetes opilio",2075,1,0.790858363611358,1,"2-6-2075-Chionoecetes opilio","Benthic Invertebrates","RCP 2.6"
"2-6","Chionoecetes opilio",2100,1,0.807624695788368,1,"2-6-2100-Chionoecetes opilio","Benthic Invertebrates","RCP 2.6"
"2-6","Gadus morhua",2075,0.234996681191038,0.0141679725371238,0.0141679725371238,"2-6-2075-Gadus morhua","Pelagic Fish/Cepholopods","RCP 2.6"
"2-6","Gadus morhua",2100,0.392856920609712,0.0186776654752773,0.0186776654752773,"2-6-2100-Gadus morhua","Pelagic Fish/Cepholopods","RCP 2.6"
"2-6","Glyptocephalus cynoglossus",2050,0.0647103692374245,0.00678185028698132,0.00678185028698132,"2-6-2050-Glyptocephalus cynoglossus","Benthic fish","RCP 2.6"
