"","x","y","sci.name","mod","climate_proj","ToE"
"1",-67.625,42.625,"Amblyraja radiata","AWI","2-6",2015
"2",-67.625,42.625,"Amblyraja radiata","AWI","8-5",2041
"3",-67.625,42.625,"Amblyraja radiata","CNRM","2-6",2061
"4",-67.625,42.625,"Amblyraja radiata","CNRM","8-5",2055
"5",-67.625,42.625,"Amblyraja radiata","GFDL","8-5",2061
"6",-67.625,42.625,"Amblyraja radiata","HAD","2-6",2087
"7",-67.625,42.625,"Amblyraja radiata","HAD","8-5",2015
"8",-67.625,42.625,"Amblyraja radiata","IPSL","2-6",2040
"9",-67.625,42.625,"Amblyraja radiata","IPSL","8-5",2015
"10",-67.625,42.625,"Anarhichas lupus","AWI","2-6",2033
"11",-67.625,42.625,"Anarhichas lupus","AWI","8-5",2034
"12",-67.625,42.625,"Anarhichas lupus","CNRM","2-6",2057
"13",-67.625,42.625,"Anarhichas lupus","CNRM","8-5",2060
"14",-67.625,42.625,"Anarhichas lupus","GFDL","8-5",2076
"15",-67.625,42.625,"Anarhichas lupus","HAD","2-6",2079
"16",-67.625,42.625,"Anarhichas lupus","HAD","8-5",2058
"17",-67.625,42.625,"Anarhichas lupus","IPSL","2-6",2046
"18",-67.625,42.625,"Anarhichas lupus","IPSL","8-5",2085
"19",-67.625,42.625,"Brosme brosme","AWI","2-6",2084
"20",-67.625,42.625,"Brosme brosme","AWI","8-5",2086
"21",-67.625,42.625,"Brosme brosme","CNRM","2-6",2083
"22",-67.625,42.625,"Brosme brosme","CNRM","8-5",2085
"23",-67.625,42.625,"Brosme brosme","GFDL","8-5",2047
"24",-67.625,42.625,"Brosme brosme","HAD","2-6",2021
"25",-67.625,42.625,"Brosme brosme","HAD","8-5",2015
"26",-67.625,42.625,"Brosme brosme","IPSL","2-6",2015
"27",-67.625,42.625,"Brosme brosme","IPSL","8-5",2100
"28",-67.625,42.625,"Calanus finmarchicus","AWI","2-6",2076
"29",-67.625,42.625,"Calanus finmarchicus","AWI","8-5",2062
"30",-67.625,42.625,"Calanus finmarchicus","CNRM","2-6",2041
"31",-67.625,42.625,"Calanus finmarchicus","CNRM","8-5",2052
"32",-67.625,42.625,"Calanus finmarchicus","GFDL","8-5",2022
"33",-67.625,42.625,"Calanus finmarchicus","HAD","2-6",2015
"34",-67.625,42.625,"Calanus finmarchicus","HAD","8-5",2022
"35",-67.625,42.625,"Calanus finmarchicus","IPSL","2-6",2015
"36",-67.625,42.625,"Calanus finmarchicus","IPSL","8-5",2027
"37",-67.625,42.625,"Caretta caretta","AWI","2-6",2101
"38",-67.625,42.625,"Caretta caretta","AWI","8-5",2101
"39",-67.625,42.625,"Caretta caretta","CNRM","2-6",2101
"40",-67.625,42.625,"Caretta caretta","CNRM","8-5",2101
"41",-67.625,42.625,"Caretta caretta","GFDL","8-5",2101
"42",-67.625,42.625,"Caretta caretta","HAD","2-6",2101
"43",-67.625,42.625,"Caretta caretta","HAD","8-5",2095
"44",-67.625,42.625,"Caretta caretta","IPSL","2-6",2101
"45",-67.625,42.625,"Caretta caretta","IPSL","8-5",2101
"46",-67.625,42.625,"Cetorhinus maximus","AWI","2-6",2015
"47",-67.625,42.625,"Cetorhinus maximus","AWI","8-5",2020
"48",-67.625,42.625,"Cetorhinus maximus","CNRM","2-6",2034
"49",-67.625,42.625,"Cetorhinus maximus","CNRM","8-5",2030
"50",-67.625,42.625,"Cetorhinus maximus","GFDL","8-5",2046
"51",-67.625,42.625,"Cetorhinus maximus","HAD","2-6",2017
"52",-67.625,42.625,"Cetorhinus maximus","HAD","8-5",2019
"53",-67.625,42.625,"Cetorhinus maximus","IPSL","2-6",2043
"54",-67.625,42.625,"Cetorhinus maximus","IPSL","8-5",2029
"55",-67.625,42.625,"Chionoecetes opilio","AWI","2-6",2065
"56",-67.625,42.625,"Chionoecetes opilio","AWI","8-5",2016
"57",-67.625,42.625,"Chionoecetes opilio","CNRM","2-6",2046
"58",-67.625,42.625,"Chionoecetes opilio","CNRM","8-5",2058
"59",-67.625,42.625,"Chionoecetes opilio","GFDL","8-5",2028
"60",-67.625,42.625,"Chionoecetes opilio","HAD","2-6",2049
"61",-67.625,42.625,"Chionoecetes opilio","HAD","8-5",2090
"62",-67.625,42.625,"Chionoecetes opilio","IPSL","2-6",2091
"63",-67.625,42.625,"Chionoecetes opilio","IPSL","8-5",2038
"64",-67.625,42.625,"Gadus morhua","AWI","2-6",2088
"65",-67.625,42.625,"Gadus morhua","AWI","8-5",2046
"66",-67.625,42.625,"Gadus morhua","CNRM","2-6",2078
"67",-67.625,42.625,"Gadus morhua","CNRM","8-5",2089
"68",-67.625,42.625,"Gadus morhua","GFDL","8-5",2030
"69",-67.625,42.625,"Gadus morhua","HAD","2-6",2018
"70",-67.625,42.625,"Gadus morhua","HAD","8-5",2018
"71",-67.625,42.625,"Gadus morhua","IPSL","2-6",2098
"72",-67.625,42.625,"Gadus morhua","IPSL","8-5",2022
"73",-67.625,42.625,"Glyptocephalus cynoglossus","AWI","2-6",2021
"74",-67.625,42.625,"Glyptocephalus cynoglossus","AWI","8-5",2023
"75",-67.625,42.625,"Glyptocephalus cynoglossus","CNRM","2-6",2066
"76",-67.625,42.625,"Glyptocephalus cynoglossus","CNRM","8-5",2041
"77",-67.625,42.625,"Glyptocephalus cynoglossus","GFDL","8-5",2075
"78",-67.625,42.625,"Glyptocephalus cynoglossus","HAD","2-6",2068
"79",-67.625,42.625,"Glyptocephalus cynoglossus","HAD","8-5",2085
"80",-67.625,42.625,"Glyptocephalus cynoglossus","IPSL","2-6",2063
"81",-67.625,42.625,"Glyptocephalus cynoglossus","IPSL","8-5",2083
"82",-67.625,42.625,"Hippoglossoides platessoides","AWI","2-6",2099
"83",-67.625,42.625,"Hippoglossoides platessoides","AWI","8-5",2086
"84",-67.625,42.625,"Hippoglossoides platessoides","CNRM","2-6",2082
"85",-67.625,42.625,"Hippoglossoides platessoides","CNRM","8-5",2023
"86",-67.625,42.625,"Hippoglossoides platessoides","GFDL","8-5",2043
"87",-67.625,42.625,"Hippoglossoides platessoides","HAD","2-6",2099
"88",-67.625,42.625,"Hippoglossoides platessoides","HAD","8-5",2048
"89",-67.625,42.625,"Hippoglossoides platessoides","IPSL","2-6",2085
"90",-67.625,42.625,"Hippoglossoides platessoides","IPSL","8-5",2034
"91",-67.625,42.625,"Hippoglossus hippoglossus","AWI","2-6",2015
"92",-67.625,42.625,"Hippoglossus hippoglossus","AWI","8-5",2023
"93",-67.625,42.625,"Hippoglossus hippoglossus","CNRM","2-6",2080
"94",-67.625,42.625,"Hippoglossus hippoglossus","CNRM","8-5",2093
"95",-67.625,42.625,"Hippoglossus hippoglossus","GFDL","8-5",2074
"96",-67.625,42.625,"Hippoglossus hippoglossus","HAD","2-6",2094
"97",-67.625,42.625,"Hippoglossus hippoglossus","HAD","8-5",2017
"98",-67.625,42.625,"Hippoglossus hippoglossus","IPSL","2-6",2087
"99",-67.625,42.625,"Hippoglossus hippoglossus","IPSL","8-5",2097
"100",-67.625,42.625,"Illex illecebrosus","AWI","2-6",2085
"101",-67.625,42.625,"Illex illecebrosus","AWI","8-5",2048
"102",-67.625,42.625,"Illex illecebrosus","CNRM","2-6",2054
"103",-67.625,42.625,"Illex illecebrosus","CNRM","8-5",2075
"104",-67.625,42.625,"Illex illecebrosus","GFDL","8-5",2018
"105",-67.625,42.625,"Illex illecebrosus","HAD","2-6",2052
"106",-67.625,42.625,"Illex illecebrosus","HAD","8-5",2073
"107",-67.625,42.625,"Illex illecebrosus","IPSL","2-6",2089
"108",-67.625,42.625,"Illex illecebrosus","IPSL","8-5",2073
"109",-67.625,42.625,"Lophius americanus","AWI","2-6",2021
"110",-67.625,42.625,"Lophius americanus","AWI","8-5",2032
"111",-67.625,42.625,"Lophius americanus","CNRM","2-6",2024
"112",-67.625,42.625,"Lophius americanus","CNRM","8-5",2050
"113",-67.625,42.625,"Lophius americanus","GFDL","8-5",2018
"114",-67.625,42.625,"Lophius americanus","HAD","2-6",2098
"115",-67.625,42.625,"Lophius americanus","HAD","8-5",2037
"116",-67.625,42.625,"Lophius americanus","IPSL","2-6",2022
"117",-67.625,42.625,"Lophius americanus","IPSL","8-5",2033
"118",-67.625,42.625,"Malacoraja senta","AWI","2-6",2065
"119",-67.625,42.625,"Malacoraja senta","AWI","8-5",2024
"120",-67.625,42.625,"Malacoraja senta","CNRM","2-6",2084
"121",-67.625,42.625,"Malacoraja senta","CNRM","8-5",2022
"122",-67.625,42.625,"Malacoraja senta","GFDL","8-5",2023
"123",-67.625,42.625,"Malacoraja senta","HAD","2-6",2097
"124",-67.625,42.625,"Malacoraja senta","HAD","8-5",2088
"125",-67.625,42.625,"Malacoraja senta","IPSL","2-6",2053
"126",-67.625,42.625,"Malacoraja senta","IPSL","8-5",2086
"127",-67.625,42.625,"Melanogrammus aeglefinus","AWI","2-6",2085
"128",-67.625,42.625,"Melanogrammus aeglefinus","AWI","8-5",2026
"129",-67.625,42.625,"Melanogrammus aeglefinus","CNRM","2-6",2015
"130",-67.625,42.625,"Melanogrammus aeglefinus","CNRM","8-5",2035
"131",-67.625,42.625,"Melanogrammus aeglefinus","GFDL","8-5",2100
"132",-67.625,42.625,"Melanogrammus aeglefinus","HAD","2-6",2032
"133",-67.625,42.625,"Melanogrammus aeglefinus","HAD","8-5",2051
"134",-67.625,42.625,"Melanogrammus aeglefinus","IPSL","2-6",2096
"135",-67.625,42.625,"Melanogrammus aeglefinus","IPSL","8-5",2035
"136",-67.625,42.625,"Pandalus borealis","AWI","2-6",2057
