"depth_lower_obis","depth_upper_obis","scientific"
7.32,32.92,"Homarus americanus"
59.7,350.5,"Hippoglossoides platessoides"
58.5,339,"Gadus morhua"
58.5,319.85,"Hippoglossus hippoglossus"
65,325.5,"Anarhichas lupus"
0,0,"Cetorhinus maximus"
NA,NA,"Balaenoptera musculus"
7.5,210,"Calanus glacialis"
7.5,175.29,"Calanus finmarchicus"
57.6,398.9,"Illex illecebrosus"
95.35,383.45,"Brosme brosme"
56.5,220,"Melanogrammus aeglefinus"
32,115.3,"Leucoraja erinacea"
6,250,"Caretta caretta"
60.55,334,"Lophius americanus"
0,0.8,"Eubalaena glacialis"
NA,NA,"Hyperoodon ampullatus"
80.79,352.8,"Pandalus borealis"
46,244.5,"Pollachius virens"
580,1592.5,"Lamna nasus"
63.375,216,"Sebastes fasciatus"
127,570,"Sebastes mentella"
84.1248,417,"Malacoraja senta"
77.5,373.5,"Chionoecetes opilio"
39.5,223,"Squalus acanthias"
65.5,440.5,"Amblyraja radiata"
59.68,397.5,"Urophycis tenuis"
NA,NA,"Carcharodon carcharias"
32.5,138,"Leucoraja ocellata"
80.695,486,"Glyptocephalus cynoglossus"
