"","mod","climate_proj","year","mean.temp","temp.sd"
"1","AWI","2-6",2015,10.0187717757816,5.7541607788254
"2","AWI","2-6",2016,9.28950076641513,6.32442722690845
"3","AWI","2-6",2017,10.0898765796752,6.16827582200889
"4","AWI","2-6",2018,9.36896797652184,5.94000534558123
"5","AWI","2-6",2019,9.71360629449645,5.87261013390725
"6","AWI","2-6",2020,9.99051367810957,5.41607975339151
"7","AWI","2-6",2021,9.9168127421091,5.38230362181151
"8","AWI","2-6",2022,10.4181419536325,6.0140363009679
"9","AWI","2-6",2023,10.260812821107,5.50555463627501
"10","AWI","2-6",2024,9.88406001887156,5.57425143449807
"11","AWI","2-6",2025,10.4735169820342,6.0913902724147
"12","AWI","2-6",2026,9.14461888274508,5.25450413181199
"13","AWI","2-6",2027,10.6706957357505,6.09536610835304
"14","AWI","2-6",2028,11.3498815351346,6.59289036954443
"15","AWI","2-6",2029,10.6925484772999,6.17217121208224
"16","AWI","2-6",2030,10.9450624385793,5.62138783046604
"17","AWI","2-6",2031,12.1112273546819,6.11048628017909
"18","AWI","2-6",2032,10.8457279632224,6.23116573546404
"19","AWI","2-6",2033,10.7398128604968,6.26031035483652
"20","AWI","2-6",2034,10.8198372231841,5.62560534009639
"21","AWI","2-6",2035,11.0266746331355,6.1798743476808
"22","AWI","2-6",2036,10.9273842975313,5.48019345978711
"23","AWI","2-6",2037,11.1780520015854,6.32157928562779
"24","AWI","2-6",2038,10.0955034667395,5.55138690174431
"25","AWI","2-6",2039,10.0922568218992,5.57696332217627
"26","AWI","2-6",2040,10.3901848674604,5.57736429029031
"27","AWI","2-6",2041,10.7314692858438,5.6846925050307
"28","AWI","2-6",2042,10.4959853823063,6.28256390341802
"29","AWI","2-6",2043,10.7808811279071,6.04755358615948
"30","AWI","2-6",2044,11.1878898010929,5.76687629086384
"31","AWI","2-6",2045,11.9453382390056,5.64150630340604
"32","AWI","2-6",2046,12.0574448606934,5.29495804284295
"33","AWI","2-6",2047,11.0604358060253,5.35489899350345
"34","AWI","2-6",2048,11.9681092497632,5.78294576188911
"35","AWI","2-6",2049,11.1092234714321,5.13272981493047
"36","AWI","2-6",2050,12.0788550743869,6.14815876896549
"37","AWI","2-6",2051,11.4849566545396,5.73250215913877
"38","AWI","2-6",2052,11.1874016475996,5.41182064274299
"39","AWI","2-6",2053,10.902421641228,6.01854124137653
"40","AWI","2-6",2054,11.2807857023242,5.62872365212326
"41","AWI","2-6",2055,11.0112547523858,5.70796868317812
"42","AWI","2-6",2056,10.7487393342022,5.65052244128012
"43","AWI","2-6",2057,11.0232913630467,6.03241562835597
"44","AWI","2-6",2058,11.2020223092031,6.15766813851218
"45","AWI","2-6",2059,11.2561360395416,6.08905900381389
"46","AWI","2-6",2060,11.1099994765865,5.48688854671022
"47","AWI","2-6",2061,10.7775987123436,5.8244038104245
"48","AWI","2-6",2062,10.2296073053242,6.05622598804006
"49","AWI","2-6",2063,11.4339036730655,5.8572653403219
"50","AWI","2-6",2064,12.6485142177616,5.60766900275133
"51","AWI","2-6",2065,12.5011859273388,5.58555475838286
"52","AWI","2-6",2066,11.562202912967,5.64815946101531
"53","AWI","2-6",2067,11.8944498786473,5.4333307124503
"54","AWI","2-6",2068,12.5192878430501,6.28469573003664
"55","AWI","2-6",2069,11.6743657343704,5.74272610607115
"56","AWI","2-6",2070,12.0758034279086,6.32527726206311
"57","AWI","2-6",2071,12.3116781580021,5.75568582547591
"58","AWI","2-6",2072,11.7156060232796,6.15772779814144
"59","AWI","2-6",2073,12.4301990685919,5.99842092503995
"60","AWI","2-6",2074,12.5876181960667,5.49397725009505
"61","AWI","2-6",2075,11.9684992007476,5.93752695281632
"62","AWI","2-6",2076,12.0904625855437,5.71112739038307
"63","AWI","2-6",2077,12.5004110852425,5.44615677368636
"64","AWI","2-6",2078,12.6386828834981,5.0065279945048
"65","AWI","2-6",2079,12.3835269685708,5.73638585795437
"66","AWI","2-6",2080,11.776859075472,5.71765728547308
"67","AWI","2-6",2081,11.7733389051298,5.14286855021328
"68","AWI","2-6",2082,10.8158993456573,5.85501441560268
"69","AWI","2-6",2083,10.2704778869501,5.49528299162163
"70","AWI","2-6",2084,10.8234366744412,5.99876202266536
"71","AWI","2-6",2085,10.828136984122,6.0173924705732
"72","AWI","2-6",2086,11.3046001732332,5.86998124214744
"73","AWI","2-6",2087,12.0119339398788,5.83211410267684
"74","AWI","2-6",2088,11.6550795082553,5.6755121683521
