"","climate_proj","mod","NAME","species","ToE","count"
"398","2.6","Ensemble","Big Glace Bay","Anarhichas lupus",2046,1
"399","2.6","Ensemble","Bird Islands","Anarhichas lupus",2050,1
"400","2.6","Ensemble","Brier Island","Amblyraja radiata",2063,1
"401","2.6","Ensemble","Brier Island","Anarhichas lupus",2027,1
"402","2.6","Ensemble","Brier Island","Chionoecetes opilio",2015,1
"403","2.6","Ensemble","Brier Island","Hippoglossoides platessoides",2067,1
"404","2.6","Ensemble","Brier Island","Malacoraja senta",2067,1
"405","2.6","Ensemble","Canso Ledges - Sugar Harbour Islands","Chionoecetes opilio",2044,1
"406","2.6","Ensemble","Central Scotian Slope, Rise and Abyss","Anarhichas lupus",2020,1
"407","2.6","Ensemble","Central Scotian Slope, Rise and Abyss","Brosme brosme",2064,1
"408","2.6","Ensemble","Central Scotian Slope, Rise and Abyss","Chionoecetes opilio",2015,1
"409","2.6","Ensemble","Central Scotian Slope, Rise and Abyss","Hippoglossus hippoglossus",2034,1
"410","2.6","Ensemble","Central Scotian Slope, Rise and Abyss","Malacoraja senta",2044,1
"411","2.6","Ensemble","Chebogue","Anarhichas lupus",2027,1
"412","2.6","Ensemble","Corsair/Georges Canyons Conservation Area","Amblyraja radiata",2039,1
"413","2.6","Ensemble","Corsair/Georges Canyons Conservation Area","Brosme brosme",2044,1
"414","2.6","Ensemble","Corsair/Georges Canyons Conservation Area","Glyptocephalus cynoglossus",2077,1
"415","2.6","Ensemble","Corsair/Georges Canyons Conservation Area","Hippoglossoides platessoides",2039,1
"416","2.6","Ensemble","Corsair/Georges Canyons Conservation Area","Hippoglossus hippoglossus",2027,1
"417","2.6","Ensemble","Corsair/Georges Canyons Conservation Area","Malacoraja senta",2039,1
"418","2.6","Ensemble","Corsair/Georges Canyons Conservation Area","Sebastes fasciatus",2044,1
"419","2.6","Ensemble","Eastern Canyons","Anarhichas lupus",2076,1
"420","2.6","Ensemble","Eastern Canyons","Chionoecetes opilio",2044,1
"421","2.6","Ensemble","Eastern Shoal","Anarhichas lupus",2076,1
"422","2.6","Ensemble","Eastern Shoal","Chionoecetes opilio",2044,1
"423","2.6","Ensemble","Eastern Shore Islands","Chionoecetes opilio",2044,1
"424","2.6","Ensemble","Emerald Basin Sponge Conservation Area","Anarhichas lupus",2067,1
"425","2.6","Ensemble","Emerald Basin Sponge Conservation Area","Chionoecetes opilio",2044,1
"426","2.6","Ensemble","Fundian Channel-Browns Bank","Amblyraja radiata",2048,1
"427","2.6","Ensemble","Fundian Channel-Browns Bank","Anarhichas lupus",2027,1
"428","2.6","Ensemble","Fundian Channel-Browns Bank","Chionoecetes opilio",2015,1
"429","2.6","Ensemble","Fundian Channel-Browns Bank","Hippoglossoides platessoides",2067,1
"430","2.6","Ensemble","Fundian Channel-Browns Bank","Hippoglossus hippoglossus",2044,1
"431","2.6","Ensemble","Fundian Channel-Browns Bank","Malacoraja senta",2067,1
"432","2.6","Ensemble","Georges Bank","Anarhichas lupus",2015,1
"433","2.6","Ensemble","Georges Bank","Brosme brosme",2044,1
"434","2.6","Ensemble","Georges Bank","Gadus morhua",2079,1
"435","2.6","Ensemble","Georges Bank","Glyptocephalus cynoglossus",2077,1
"436","2.6","Ensemble","Georges Bank","Hippoglossoides platessoides",2035,1
"437","2.6","Ensemble","Georges Bank","Malacoraja senta",2027,1
"438","2.6","Ensemble","Georges Bank","Melanogrammus aeglefinus",2079,1
"439","2.6","Ensemble","Georges Bank","Pollachius virens",2048,1
"440","2.6","Ensemble","Georges Bank","Sebastes fasciatus",2044,1
"441","2.6","Ensemble","Head Harbour, West Isles and The Passages","Amblyraja radiata",2048,1
"442","2.6","Ensemble","Head Harbour, West Isles and The Passages","Anarhichas lupus",2015,1
"443","2.6","Ensemble","Head Harbour, West Isles and The Passages","Hippoglossoides platessoides",2048,1
"444","2.6","Ensemble","Head Harbour, West Isles and The Passages","Hippoglossus hippoglossus",2044,1
"445","2.6","Ensemble","Head Harbour, West Isles and The Passages","Malacoraja senta",2048,1
"446","2.6","Ensemble","Horse Mussel Reefs","Anarhichas lupus",2015,1
"447","2.6","Ensemble","Jordan Basin Conservation Area","Amblyraja radiata",2039,1
"448","2.6","Ensemble","Jordan Basin Conservation Area","Anarhichas lupus",2015,1
"449","2.6","Ensemble","Jordan Basin Conservation Area","Brosme brosme",2048,1
"450","2.6","Ensemble","Jordan Basin Conservation Area","Hippoglossoides platessoides",2044,1
"451","2.6","Ensemble","Jordan Basin Conservation Area","Hippoglossus hippoglossus",2027,1
"452","2.6","Ensemble","Jordan Basin Conservation Area","Malacoraja senta",2044,1
"453","2.6","Ensemble","Jordan Basin Conservation Area","Pollachius virens",2071,1
"454","2.6","Ensemble","Jordan Basin Conservation Area","Sebastes fasciatus",2063,1
"455","2.6","Ensemble","LaHave Basin","Chionoecetes opilio",2044,1
"456","2.6","Ensemble","Long Eddy","Amblyraja radiata",2048,1
"457","2.6","Ensemble","Long Eddy","Anarhichas lupus",2015,1
"458","2.6","Ensemble","Long Eddy","Chionoecetes opilio",2015,1
"459","2.6","Ensemble","Long Eddy","Hippoglossoides platessoides",2048,1
"460","2.6","Ensemble","Long Eddy","Hippoglossus hippoglossus",2044,1
"461","2.6","Ensemble","Long Eddy","Malacoraja senta",2048,1
"462","2.6","Ensemble","Lophelia Coral Conservation Area","Anarhichas lupus",2070,1
"463","2.6","Ensemble","Lophelia Coral Conservation Area","Chionoecetes opilio",2044,1
"464","2.6","Ensemble","Machias Seal Island Migratory Bird Sanctuary","Amblyraja radiata",2048,1
"465","2.6","Ensemble","Machias Seal Island Migratory Bird Sanctuary","Chionoecetes opilio",2015,1
"466","2.6","Ensemble","Machias Seal Island Migratory Bird Sanctuary","Hippoglossoides platessoides",2067,1
"467","2.6","Ensemble","Machias Seal Island Migratory Bird Sanctuary","Hippoglossus hippoglossus",2044,1
"468","2.6","Ensemble","Machias Seal Island Migratory Bird Sanctuary","Malacoraja senta",2063,1
"469","2.6","Ensemble","Misaine Bank and Laurentian Channel","Chionoecetes opilio",2066,1
"470","2.6","Ensemble","North of Emerald Basin Sea Pen Field","Chionoecetes opilio",2044,1
"471","2.6","Ensemble","Northeast Channel Coral Conservation Area","Amblyraja radiata",2044,1
"472","2.6","Ensemble","Northeast Channel Coral Conservation Area","Brosme brosme",2065,1
"473","2.6","Ensemble","Northeast Channel Coral Conservation Area","Hippoglossoides platessoides",2044,1
"474","2.6","Ensemble","Northeast Channel Coral Conservation Area","Hippoglossus hippoglossus",2039,1
"475","2.6","Ensemble","Northeast Channel Coral Conservation Area","Malacoraja senta",2044,1
"476","2.6","Ensemble","Northeast Channel Coral Conservation Area","Sebastes fasciatus",2065,1
"477","2.6","Ensemble","Northern Gulf of Maine","Amblyraja radiata",2048,1
"478","2.6","Ensemble","Northern Gulf of Maine","Chionoecetes opilio",2015,1
"479","2.6","Ensemble","Northern Gulf of Maine","Hippoglossus hippoglossus",2044,1
